ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
201516,PTPM02500D,SCUOLA SECONDARIA II GRADO,5,23,22,1,1,0
201516,CT1E05100E,SCUOLA PRIMARIA,3,15,13,2,2,0
201516,RCTD5M5009,SCUOLA SECONDARIA II GRADO,2,9,9,0,0,0
201516,MIPMM55007,SCUOLA SECONDARIA II GRADO,4,21,21,0,0,0
201516,BSPS025007,SCUOLA SECONDARIA II GRADO,1,12,11,1,1,0
201516,NA1E07600E,SCUOLA PRIMARIA,4,50,47,3,0,3
201516,NA1E26500T,SCUOLA PRIMARIA,3,11,11,0,0,0
201516,NATF215004,SCUOLA SECONDARIA II GRADO,3,2,2,0,0,0
201516,GRTD01500C,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
201516,RM1E030004,SCUOLA PRIMARIA,3,25,25,0,0,0
201516,VE1E013006,SCUOLA PRIMARIA,2,12,12,0,0,0
201516,RM1E14600E,SCUOLA PRIMARIA,4,29,29,0,0,0
201516,NA1E13700R,SCUOLA PRIMARIA,5,17,17,0,0,0
201516,PA1E00400D,SCUOLA PRIMARIA,5,14,12,2,0,2
201516,RM1M058005,SCUOLA SECONDARIA I GRADO,1,11,7,4,1,3
